,word,sentiment,embedding,distances
188,magical,1,"[ 0.21849659  0.11799634 -0.26079509  0.26595271 -0.00114797 -0.11738096
 -0.43985355 -0.11825871 -0.19180915 -0.00959588 -0.01904019  0.0101598
 -0.06237421  0.27509883 -0.33646193 -0.16146877  0.21728508 -0.00462942
 -0.05112946  0.16928414 -0.15730858 -0.61693674  0.00109282 -0.16776407
  0.0132537   0.12777647 -0.19682625  0.00900303 -0.02828862  0.12608482
  0.05151979  0.03109648  0.1904915  -0.07767829 -0.25753945 -0.38912234
 -0.03418774 -0.39210784 -0.49698538 -0.11867785  0.33065176 -0.03277786
  0.11403197 -0.36799705 -0.1268755   0.09187558 -0.1985268  -0.08398857
  0.15800248  0.2294765   0.03763557  0.04797601  0.14595555  0.01761104
 -0.08613759  0.27114901 -0.28828904 -0.11100085  0.02469454  0.10859862
  0.20477745 -0.12777393  0.13438317 -0.03999479  0.35161701 -0.37448418
  0.15810996 -0.12504375 -0.13490166 -0.00143431  0.19175746 -0.07116173
 -0.25597599  0.01430324  0.04914934  0.25772467  0.00471541  0.13546272
  0.05407128 -0.02758848 -0.06422447 -0.0103878  -0.07673394  0.5389744
 -0.0275152   0.04437502  0.19979143 -0.33820713 -0.09222715 -0.00589196
  0.2681801  -0.02668968 -0.17002481 -0.34458306 -0.04771125 -0.08739314
 -0.15148973 -0.06769194 -0.16749269 -0.35145521]",1.031252448450429
1146,infuriated,-1,"[ 0.18906188  0.02036842  0.0275642   0.00147196  0.00262487 -0.00869318
  0.06369695 -0.00647022  0.02520288 -0.0161113  -0.03204661  0.08127516
 -0.15178774  0.01171203  0.08075212 -0.24917097 -0.09248047 -0.02464107
 -0.07377936  0.04670468  0.13476868 -0.02051381 -0.14862461  0.0726414
  0.02874888  0.00937692  0.04334807  0.02611699 -0.08070737  0.12274161
  0.14993547 -0.04860597 -0.10716549  0.03548403 -0.11916414  0.11429922
 -0.21327224  0.01767434 -0.09180693  0.00225514  0.13683006 -0.16326642
 -0.06086345 -0.15038344  0.02004605  0.06627126  0.05224668  0.14478229
  0.00769955  0.15288244  0.07744405  0.06905436  0.08664839  0.10464933
  0.04222684  0.06153369  0.05464297  0.00705467  0.17309755 -0.16734925
  0.01088279 -0.21654713  0.12308045 -0.11207473  0.07272522  0.08833019
  0.11742328 -0.21532172  0.04851702  0.23575056  0.07141251 -0.03206533
 -0.04928198  0.13969545 -0.14348195  0.03050091  0.043937   -0.01179723
 -0.03547765  0.18929097  0.1100059   0.05008436  0.17866409  0.00533075
 -0.23203607 -0.08013755  0.03753556 -0.03058331  0.10745895 -0.0151227
  0.11707445 -0.03796057  0.03147203 -0.00998747 -0.03190463  0.00523432
 -0.00198699 -0.0642731  -0.01225341 -0.13333657]",1.0317363212505983
614,supremacy,1,"[-0.02278063 -0.40540636  0.0133333   0.44163191 -0.31507272 -0.60381961
 -0.29795679 -0.05525023  0.33223495 -0.05444877  0.06067932  0.01403823
  0.17350224 -0.33264044  0.3668249  -0.45394751  0.05886919 -0.04121548
  0.20244177 -0.23329286  0.05251828  0.0339328  -0.00159062 -0.08308293
  0.23585767  0.05254262  0.07223104  0.00590633 -0.11952551  0.33651611
  0.07667191 -0.00668341 -0.17436695 -0.08947646 -0.11551115 -0.38108256
  0.06501698  0.03701334  0.11898352 -0.25718281  0.02267534 -0.49936301
 -0.21112786 -0.37960905 -0.23560964 -0.07175824 -0.1613171  -0.11982163
 -0.10046268 -0.12657534  0.06350004 -0.08323262 -0.09590408  0.11395814
 -0.34338677 -0.0895088   0.50708801 -0.03636152 -0.15318999 -0.38232967
  0.48064131  0.01085359  0.26836401 -0.37913296  0.25504032  0.09593315
  0.17761399  0.00474127 -0.04845895  0.05872653  0.13592073 -0.39592278
  0.28779134 -0.12167706  0.12855428  0.05761576 -0.03552108 -0.08460648
  0.0172957  -0.01956516  0.37455964 -0.113344    0.13563412  0.16744378
 -0.24434672  0.19812366  0.22481528  0.03732027 -0.19341107 -0.16609538
 -0.01854795  0.03596125  0.4542428   0.20708148 -0.26763144 -0.01466638
 -0.07910989  0.339506   -0.01369806 -0.35044733]",1.0319827035075393
2989,heartbreaking,-1,"[ 0.14508495 -0.2292906  -0.04066193  0.0322006  -0.23145206  0.11398876
 -0.37624699  0.00725577 -0.04073947  0.14942968 -0.12736748  0.1977317
  0.15444793  0.11909691 -0.1158521  -0.09352984 -0.17999783 -0.17810488
  0.27138367 -0.21324588 -0.16453734 -0.38283357  0.11506564 -0.10569851
 -0.05980719  0.27454895 -0.12125639 -0.04858552  0.21600831 -0.01210787
  0.18743183  0.18294919 -0.28182337 -0.08618333 -0.25252593 -0.21928924
 -0.07919765 -0.33616489  0.2108999   0.164399    0.27147281 -0.03437691
 -0.3613987  -0.04080224 -0.31399259  0.033129    0.11307113 -0.08982942
 -0.14278302  0.51838833  0.20807767 -0.23577113  0.05044284  0.18151669
 -0.28041211 -0.17376456 -0.03249032  0.25461668 -0.0559858  -0.23902255
  0.10780419  0.04972921  0.05482077  0.03667734  0.47463635 -0.30716747
  0.24460094 -0.08161806  0.05334144  0.16620719 -0.09191378 -0.38782799
  0.16068566 -0.04004366 -0.33785343  0.00432572  0.19791232  0.15573941
  0.20709273 -0.12494768 -0.52244323 -0.24538003  0.07919741  0.56472492
 -0.09241499  0.15843539  0.04368364 -0.3238405   0.00547343 -0.13668832
  0.1094928  -0.24244736 -0.05564953  0.28835344 -0.13350032 -0.06547719
 -0.20936185  0.28717241 -0.05782436 -0.285467  ]",1.0323275125608367
2393,uncompromising,-1,"[ 0.18212788  0.09921543 -0.20527633  0.00547837 -0.17467381 -0.04826906
 -0.25206777 -0.26278386  0.19491389 -0.1786042   0.15301082  0.35193667
 -0.21305349 -0.04970845  0.04512798 -0.23817977 -0.10296655  0.19867414
 -0.02985915 -0.09815856  0.0468462  -0.42695805 -0.08125676 -0.21230051
 -0.04270945  0.23611978 -0.30846584  0.03694274 -0.00837658  0.17414883
  0.06251008 -0.08827645 -0.29852894  0.21134168 -0.28324687  0.00485871
  0.0458021  -0.17252466  0.1320412  -0.10728072  0.23337832  0.14109173
 -0.23611212 -0.31690121  0.10269137 -0.18780544  0.1425083  -0.21137646
  0.14909773  0.24246503  0.11603556 -0.2414455   0.06386608 -0.2101398
  0.05919027 -0.26303157 -0.11725688  0.24927409  0.04590131 -0.33283991
  0.0976387  -0.15934317  0.02004081  0.15769424  0.24897352 -0.32940939
 -0.01420027 -0.29645434  0.1320349  -0.01221973  0.11475604 -0.03329011
  0.03907529  0.06579929 -0.14991243  0.32654095  0.06262702  0.23067278
 -0.23017946 -0.1803261  -0.35192469  0.16477621  0.16431962  0.19902578
  0.20157774  0.07797834  0.03032134 -0.25361472 -0.18068726  0.06325641
  0.03484235 -0.06425086  0.18293409  0.19253962 -0.02288266 -0.17424139
 -0.36072907  0.06426352  0.37225875 -0.3000856 ]",1.0326374998728036
127,invigorating,1,"[-4.84002642e-02 -1.09018058e-01 -7.35019594e-02  7.48997927e-02
  9.40656438e-02  4.28839549e-02 -2.36041859e-01  4.73965667e-02
 -1.47476390e-01  2.63015497e-02 -1.11457132e-01  2.73919404e-01
  1.68363098e-02 -1.57523438e-01 -1.97235625e-02 -9.63621214e-02
 -1.19179457e-01  1.84518605e-04 -3.48968268e-03 -5.92348911e-02
  1.69084936e-01 -1.01626605e-01  7.52019212e-02  5.23508191e-02
  1.99517212e-03 -5.87581247e-02  6.58186972e-02  4.60394323e-02
 -6.11409247e-02  1.74188748e-01  2.88291741e-02 -3.99846360e-02
 -2.47193068e-01 -1.17336906e-01  3.80149297e-02 -1.84494361e-01
 -1.01178385e-01 -3.75962704e-02  4.25441414e-02  5.02164401e-02
 -1.58405885e-01 -5.10081928e-03 -1.13945298e-01  8.04633573e-02
 -8.86409208e-02  6.30473811e-03 -1.16721109e-01 -5.89168631e-02
 -3.52997184e-02  2.46959940e-01  1.15982577e-01 -8.39288458e-02
 -5.25548458e-02  1.24360146e-02  7.80532286e-02 -2.65274812e-02
  2.71776654e-02 -5.41028418e-02  1.38051510e-02 -9.85255986e-02
 -1.03395700e-01 -6.51562810e-02 -2.43169069e-02 -7.13717192e-02
  2.50661910e-01 -1.97606057e-01  1.14942767e-01 -6.78299889e-02
 -2.76572518e-02 -2.08869614e-02  4.67558019e-02 -6.42558858e-02
 -5.41301351e-03  4.46478575e-02  1.25939488e-01  8.94256309e-03
  2.07492206e-02  1.64011901e-03  1.24464490e-01 -3.02172974e-02
 -1.50813058e-01  4.69823508e-03  8.33300129e-02  8.67034793e-02
 -5.51100597e-02  7.67849609e-02 -5.30230962e-02 -3.89216319e-02
 -2.47926991e-02 -2.61159288e-03  1.32658675e-01 -8.03343728e-02
  9.62290838e-02  2.36715853e-01 -2.34856792e-02 -7.68287703e-02
  2.01850175e-03 -8.54516923e-02 -1.25628058e-02  1.90478697e-01]",1.032862325881835
1585,amazing,1,"[ 0.11927024  0.12507512 -0.05834618  0.29539087 -0.25556618 -0.27778119
  0.07098548 -0.05894493 -0.07972896 -0.21809126 -0.35920849  0.04360345
  0.04897837  0.22104643 -0.04976613  0.05024283 -0.10114806 -0.14824691
 -0.02861158 -0.27450198  0.0408986  -0.18941556  0.05819976 -0.01919653
 -0.0996618   0.18120135  0.02592727 -0.13982855 -0.11171266 -0.01279149
  0.09211609 -0.15230022 -0.20289205 -0.30396232 -0.15199721  0.15629022
 -0.2288706  -0.05732887  0.07436437  0.22142226  0.07219343 -0.01880809
 -0.10335553  0.08928282 -0.2342163  -0.02997454 -0.04487512 -0.00052445
 -0.03821089  0.20329127  0.01837145  0.18589571  0.18110973  0.02784077
  0.06402955  0.32039425 -0.09169072  0.1886085   0.17635871  0.15220548
  0.11715746 -0.16050908  0.11852783 -0.2133175   0.34879792 -0.27382571
 -0.25716621 -0.0564374  -0.06235907  0.17173366  0.22840698 -0.04593809
  0.00503833 -0.02604806 -0.29379743  0.30271921 -0.0238178  -0.15627965
 -0.00801715 -0.07507142 -0.13824147 -0.13754682 -0.21456714  0.23362264
 -0.27068987  0.05145635  0.14110348 -0.21517806  0.04637972 -0.27414209
 -0.0634355   0.31655505 -0.03236079 -0.14717866 -0.18400188 -0.26082525
 -0.22649755 -0.20368826 -0.03105721 -0.04420893]",1.032942165963921
1719,cherished,1,"[-0.16097693  0.26282617 -0.28815773  0.02640084 -0.08568554 -0.05598163
 -0.11966839 -0.12251627 -0.05488017 -0.26348892  0.02615935  0.0231024
 -0.04499327  0.05581184  0.03053022  0.01434267 -0.06500296  0.02235028
  0.13191544 -0.06147653  0.16143434 -0.12501492 -0.34926656  0.02115795
  0.11576511 -0.17031527  0.08009393  0.01850746 -0.07552589  0.01953638
 -0.09863808  0.0380486  -0.20443934 -0.15534709 -0.18390229 -0.25879747
 -0.17290708 -0.08248645 -0.32245854 -0.2505804  -0.08461415  0.25982225
 -0.01274607 -0.26382452 -0.11647348  0.09621047 -0.08600297 -0.3041192
 -0.09041481  0.36414275  0.09135286  0.04093244 -0.09768154  0.20699346
 -0.30674013 -0.09481788 -0.15519525  0.141331    0.10171366 -0.02236417
  0.02999226 -0.21920818 -0.11588632  0.26027128  0.21985143 -0.07020253
  0.0617984  -0.32050261  0.14890347  0.17472641  0.09814616 -0.22609791
 -0.03400896 -0.05732796 -0.1765137   0.3657338  -0.15994111  0.02120063
  0.15738416  0.05198558 -0.05239264  0.18790089 -0.09272568  0.18052453
 -0.15409192  0.0923246   0.22980067 -0.0434695  -0.25447157 -0.29566529
  0.14203148 -0.03760603  0.13173798  0.20340315  0.03145929 -0.04084561
  0.0063183   0.10209513  0.21712752 -0.12793843]",1.0332712480519148
750,wonderful,1,"[-0.00152682  0.18429306 -0.29197827  0.27242842 -0.11108779 -0.21781877
  0.11403631 -0.14191237 -0.14557837 -0.03214456 -0.33609888  0.05036485
  0.30325133 -0.01777512 -0.19850381  0.17278911 -0.01576432 -0.0882233
  0.0947728  -0.07547509 -0.07817151 -0.56273299 -0.20935076 -0.05757379
 -0.08781581 -0.06681761  0.03962558 -0.26479444 -0.05089387 -0.11048113
 -0.0026689  -0.14242838 -0.11868852 -0.33820182 -0.1685822   0.24499008
 -0.24968214 -0.25227514  0.13177751  0.03074574  0.0156904  -0.01629482
  0.00191318 -0.16493893 -0.11785714  0.05484385 -0.05787718  0.03167107
  0.01248918  0.1650236   0.22750966  0.26017004  0.28041846  0.05800701
  0.09167018  0.22505838 -0.12600645  0.15363806  0.14499308  0.04764271
 -0.04941177 -0.11676181  0.13371499 -0.45788178  0.47042412 -0.18504813
 -0.00387297 -0.06216097  0.24247855  0.06655353  0.21077485  0.04287674
  0.07080635 -0.11526236 -0.22045715  0.18394728  0.01895241 -0.14201076
  0.14903377 -0.05805877 -0.07588702 -0.17328441 -0.19404793  0.05130987
 -0.13965578 -0.07817906  0.03731274 -0.38405079  0.04464042 -0.20402192
  0.00248573  0.09388395 -0.01172677 -0.30293345 -0.10499054 -0.17167982
 -0.17731309 -0.09058748 -0.15574372 -0.18264255]",1.0337606961370147
693,unforgettable,1,"[ 0.14442679  0.33096579 -0.61243987  0.17455435 -0.17371762 -0.36881894
 -0.4338212  -0.10779853  0.07149927  0.05473033 -0.44626313  0.24573371
 -0.17611876  0.15909933  0.02189315 -0.27975869 -0.00404838  0.01586748
  0.27374986 -0.10424306 -0.19673413 -0.45711473  0.11001829  0.20707804
 -0.21641861  0.14277051 -0.2623843   0.21242949 -0.27854487  0.1660466
  0.14412634 -0.04191665 -0.39978176 -0.22461228 -0.27180123  0.19417232
 -0.09303083 -0.17383589  0.0380143   0.18765013  0.35963321 -0.17664963
 -0.33579937 -0.12778892  0.04004332  0.08917348  0.09219715  0.02828285
  0.04151724  0.39754435  0.1164502  -0.11856207  0.28430492  0.39510539
  0.21902904  0.11904206 -0.03654678  0.17006251  0.00868152  0.02898506
 -0.01764568 -0.06817678  0.11186377 -0.39738262  0.33342013 -0.50910527
  0.16144338 -0.16225065 -0.01065992 -0.07304137  0.26707676 -0.10461745
 -0.04588712  0.01429323 -0.0746547  -0.04534351 -0.00203145 -0.00857678
  0.29235813 -0.03094253 -0.26982185 -0.20879371  0.06548946  0.25070575
 -0.13490529  0.06809043  0.15794368 -0.05813399  0.10828525 -0.04102437
  0.18691491  0.11938939  0.15225601 -0.11205363  0.03932465  0.12348309
 -0.26962247  0.3168596  -0.10481343 -0.03224458]",1.037947931476886
